Assignment,Organization Name
fc59c0,Arista Networks
641b2f,"Samsung Electronics Co.,Ltd"
0016f6,Nevion
40b7fc,Phyplus Microelectronics Limited
682c4f,leerang corporation
40ed00,TP-Link Corporation Limited
9c73b1,"Samsung Electronics Co.,Ltd"
388a06,"Samsung Electronics Co.,Ltd"
b0d888,"Panasonic Automotive Systems Co.,Ltd"
44d77e,Robert Bosch GmbH
782dad,"HUAWEI TECHNOLOGIES CO.,LTD"
d06158,"HUAWEI TECHNOLOGIES CO.,LTD"
244bf1,"HUAWEI TECHNOLOGIES CO.,LTD"
908855,"Cisco Systems, Inc"
687161,"Cisco Systems, Inc"
e0a129,"Extreme Networks, Inc."
60152b,Palo Alto Networks
28ec22,eero inc.
0080b8,"DMG MORI Digital Co., LTD"
2873f6,Amazon Technologies Inc.
c4ebff,zte corporation
40d4f6,"Honor Device Co., Ltd."
7c3180,SMK corporation
843e1d,"Hui Zhou Gaoshengda Technology Co.,LTD"
883f37,"UHTEK CO., LTD."
d4bafa,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD"
4cec0f,"Cisco Systems, Inc"
4893dc,UNIWAY INFOCOM PVT LTD
5ce688,VECOS Europe B.V.
e0cb1d,Amazon Technologies Inc.
fc84a7,"Murata Manufacturing Co., Ltd."
5079,Private
601b52,Vodafone Italia S.p.A.
303180,"Shenzhen Skyworth Digital  Technology  CO., Ltd"
3ccb4d,"Avikus Co., Ltd"
201582,"Apple, Inc."
c08f20,"Shenzhen Skyworth Digital  Technology  CO., Ltd"
08ff24,"Shenzhen Skyworth Digital  Technology  CO., Ltd"
90b67a,"Shenzhen Skyworth Digital  Technology  CO., Ltd"
249ac8,"Shenzhen Skyworth Digital  Technology  CO., Ltd"
28c01b,"Shenzhen Skyworth Digital  Technology  CO., Ltd"
e028b1,"Shenzhen Skyworth Digital  Technology  CO., Ltd"
5c2886,Inventec(Chongqing) Corporation
40921a,"Apple, Inc."
10e2c9,"Apple, Inc."
a8c647,"Extreme Networks, Inc."
3086f1,"Fiberhome Telecommunication Technologies Co.,LTD"
0436b8,I&C Technology
d0431e,Dell Inc.
a8881f,SERVERCOM (INDIA) PRIVATE LIMITED
24a42c,NETIO products a.s.
702f86,Marquardt GmbH
f0a0b1,"HUAWEI TECHNOLOGIES CO.,LTD"
404f42,"HUAWEI TECHNOLOGIES CO.,LTD"
38a851,"Quickset Defense Technologies, LLC"
782bcb,Dell Inc.
38397,Dell Inc.
180373,Dell Inc.
74867a,Dell Inc.
204747,Dell Inc.
000bdb,Dell Inc.
00123f,Dell Inc.
00cb00,Private
1100aa,Private
9c93e4,Private
54bf64,Dell Inc.
ccc5e5,Dell Inc.
4cd98f,Dell Inc.
dcf401,Dell Inc.
6c2b59,Dell Inc.
c8f750,Dell Inc.
989096,Dell Inc.
801844,Dell Inc.
9840bb,Dell Inc.
d481d7,Dell Inc.
e0d848,Dell Inc.
2564,Dell Inc.
a4badb,Dell Inc.
001c23,Dell Inc.
847beb,Dell Inc.
a41f72,Dell Inc.
00c04f,Dell Inc.
00b0d0,Dell Inc.
0019b9,Dell Inc.
001aa0,Dell Inc.
b44506,Dell Inc.
04bf1b,Dell Inc.
98e743,Dell Inc.
185a58,Dell Inc.
485a0d,Juniper Networks
d08e79,Dell Inc.
ccf3c8,Technicolor CH USA Inc.
e03c1c,IEEE Registration Authority
993,Visteon Corporation
ec41ca,"Shenzhen TecAnswer Technology co.,ltd"
581031,"Hon Hai Precision IND.CO.,LTD"
